Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
ADV Slim'Up;9.02;0;;5.96;1.06;;;;Laser | Cold | Modulo | Lead | ABO | 13/01/2026;Broad | D | 18/65+ | Marzocca | 17km | Valore di conversione;2026-05-15;0.56;1513;16
Arianna Menis;11.39;1;11.39;5.30;2.93;;;;Nuova campagna Contatti;UNIQA SUMMER EXPERIENCE CORMONS;2026-05-15;0.18;2150;63
Arianna Menis;20.99;0;;6.82;1.07;;;;7 GIORNI INTENSIVI A 340€;PUBBLICO FREDDO | dal 12.05 al 25.05;2026-05-15;0.64;3078;33
Arianna Menis;25.66;1;25.66;4.57;1.82;;;;Consulenza con nutrizionista + bioimpedenziometria gratuita;PUBBLICO FREDDO | dal 14.05 al 27.05;2026-05-15;0.25;5612;102
Riflesso Evolution;2.10;0;;12.65;0.60;;;;[LG] Manuela Shala broad 29/04/2026;Rmkt;2026-05-15;2.10;166;1
Riflesso Evolution;2.06;0;;11.98;4.65;;;;[LG] Manuela Shala broad 29/04/2026;Broad;2026-05-15;0.26;172;8
Riflesso Evolution;8.38;2;4.19;9.94;2.14;;;;[LG] Manuela Shala Lead Ads 29/04/2026;Broad;2026-05-15;0.47;843;18
Centro estetico natura;7.73;0;;10.74;1.53;;;;INFRATERMIK;INFRATERMIK 05-26;2026-05-15;0.70;720;11
Exthetyc;25.87;3;8.62;4.09;3.18;Exthetyc;;;Prova trattamento corpo Tcl a 37€;PUBBLICO FREDDO | dal 07.05 al 18.05;2026-05-15;0.13;6323;201
ADV SANITAL ECO STORE;7.34;0;;11.49;2.35;;;;05/04/26 - corpo Nutriestetica - COLD - ABO;corpo donna - Catania +5 - W 18-65 - ALL - Volume;2026-05-15;0.49;639;15
ADV SANITAL ECO STORE;3.01;0;;0.58;0.12;;;;Nuova campagna Notorietà;Nuovo gruppo di inserzioni Notorietà;2026-05-15;0.50;5156;6
Eternity LB - Account pubblicitario;4.52;1;4.52;13.95;2.78;;;;Nuova campagna Contatti wonder 2;Nuovo gruppo di inserzioni Contatti;2026-05-15;0.50;324;9
Leuce - Medicina Estetica;21.65;0;;8.73;1.57;;;;Welcome rimodellami a 89€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-15;0.56;2481;39
Beauty Art;4.60;0;;2.94;1.28;Beauty Art;;;Contatti 2026 - Laser;Laser - Broad - F - Età 25-50 - Provincia di Ragusa - Video 2 mod Promo 69€ - Testo 2 - Titolo 1 - Modulo 2 Laser promo 69€;2026-05-15;0.23;1565;20
