Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
Med & Tech;33.22;7;4.75;12.79;4.77;;;;Open Day - Total Lift - DR. RICAPITO EZIO;PUBBLICO FREDDO - RICAPITO | Dal 15.05 al 28.05;2026-05-17;0.27;2597;124
Med & Tech;26.49;1;26.49;11.42;4.74;;;;Open Day - Total Lift - DOTT.SSA DEL VESCOVO;PUBBLICO FREDDO - DEL VESCOVO | Dal 14.05 al 27.05;2026-05-17;0.24;2320;110
Med & Tech;22.32;8;2.79;12.50;6.78;;;;Open Day - Total Lift - DOTT. FABIO SCUDERI;PUBBLICO FREDDO - SCUDERI | Dal 16.05 al 29.05;2026-05-17;0.18;1785;121
Med & Tech;23.79;13;1.83;9.23;5.16;;;;Open Day - Total Lift - DOTT. LO GIUDICE;PUBBLICO FREDDO - LO GIUDICE | Dal 15.05 al 28.05;2026-05-17;0.18;2578;133
Med & Tech;21.76;4;5.44;11.17;2.10;;;;Open Day - Total Lift - DOTT.SSA TIZIANA MASTROMARINO;PUBBLICO FREDDO - MASTROMARINO | Dal 14.05 al 27.05;2026-05-17;0.53;1948;41
Med & Tech;21.44;0;;12.83;3.05;;;;Open Day - Total Lift - STUDIO DOTT. RICCIARDI LUMINA;PUBBLICO FREDDO - RICCIARDI | Dal 13.05 al 26.05;2026-05-17;0.42;1671;51
Med & Tech;25.35;2;12.68;12.68;3.90;;;;Open Day - Total Lift - STUDIO DOTT.SSA FRANCESCA PES;PUBBLICO FREDDO - PES | Dal 12.05 al 25.05;2026-05-17;0.33;2000;78
Med & Tech;20.60;0;;9.88;2.30;;;;Open Day - Total Lift - DOTT.SSA ROSALBA DI NATALE;PUBBLICO FREDDO - IMBESI | Dal 11.05 al 24.05;2026-05-17;0.43;2085;48
Med & Tech;29.13;3;9.71;28.90;5.16;;;;Open Day - Total Lift - DR ZUFFADA E NARDI;PUBBLICO FREDDO - ZUFFADA E NARDI | Dal 07.05 al 20.05;2026-05-17;0.56;1008;52
Med & Tech;23.31;1;23.31;10.46;2.78;;;;Open Day - Total Lift - STUDIO DEL DOTT. MATTEO PARADISO;PUBBLICO FREDDO - STUDIO PARADISO | Dal 08.05 al 21.05;2026-05-17;0.38;2228;62
Med & Tech;20.36;3;6.79;10.44;4.36;;;;Open Day - Total Lift -  STUDIO DELLA DOTT. SSA BRUNA ARGENTI;PUBBLICO FREDDO - DENTALWELLNESSART | dal 07.05 al 20.05;2026-05-17;0.24;1950;85
Med & Tech;40.01;2;20.01;11.77;1.94;;;;Open Day - Total Lift - FARMACIA MAURO OPEN DAY DOTT.SSA MARCELLA OLIVETI;PUBBLICO FREDDO - OLIVETI | Dal 06.05 al 19.05;2026-05-17;0.61;3399;66
Med & Tech;23.90;2;11.95;15.47;3.04;;;;Open Day - Total Lift - STUDIO DR RENATO CASADEI E DOTT SSA VIRGINIA CASADEI;PUBBLICO FREDDO - CASADEI | Dal 05.05 al 18.05;2026-05-17;0.51;1545;47
Med & Tech;6.42;1;6.42;16.59;3.62;;;;Open Day - Total Lift - Studio della dott.ssa Maria Grangia;PUBBLICO FREDDO - GRANGIA | Dal 04.05 al 17.05;2026-05-17;0.46;387;14
